
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     22    37.14      65.93       0.33    7192   1 ShellHost
     24     8.39      52.45      78.97    8572   1 sihost
      4     1.25       1.64       0.00     700   0 smss
     25     5.84      21.93       0.00    4072   0 spoolsv
     43    55.89      33.13       0.00    5860   0 SQLAGENT
     31    35.78      55.52       0.00    4368   0 sqlceip
     33    43.53      63.00       0.00   19328   0 sqlceip
     29    36.30      53.83       0.00   19420   0 sqlceip
    143   982.24     748.32       0.00   17948   0 sqlservr
     10     1.96      10.74       0.00    4972   0 sqlwriter
      8     1.53       7.51       0.00    5000   0 ssh-agent
     13     2.16       9.62       0.00    5064   0 sshd
     13     2.08       9.32       0.00    5044   0 ss_conn_service
     14     2.32       9.98       0.00    3204   0 ss_conn_service2
     56   110.34     181.93       8.33   10272   1 StartMenuExperienceHost
     14     3.19      14.20       0.00    1248   0 svchost
     11     2.51      14.00       0.00    1252   0 svchost
     27    17.63      48.41       0.00    1352   0 svchost
     10     2.41      15.40       0.00    1396   0 svchost
     19    10.85      21.12       0.00    1520   0 svchost
     13     3.32      14.03       0.00    1576   0 svchost
     10     1.20       6.95       0.00    1716   0 svchost
     42    11.33      16.59       0.00    1744   0 svchost
     24     4.03      22.46       0.00    1764   0 svchost
     23     2.13      11.68       0.00    1784   0 svchost
     31     4.20      17.60       0.00    1812   0 svchost
     16     4.28      12.54       0.00    1956   0 svchost
     12     2.77      10.85       0.00    2032   0 svchost
      8     1.90       8.29       0.00    2136   0 svchost
     14     3.45      12.29       0.00    2240   0 svchost
     11     2.34      10.24       0.00    2320   0 svchost
     15     1.77       7.71       0.00    2324   0 svchost
     25    13.99      28.88       0.00    2376   0 svchost
     16     6.18      17.05       0.00    2404   0 svchost
     12     2.41      13.99       0.00    2416   0 svchost
     13     2.38      12.41       0.00    2552   0 svchost
     16     3.36      14.49       0.00    2672   0 svchost
     12     3.43      15.47       0.00    2724   0 svchost
      9     2.13      14.57       0.41    2856   1 svchost
     11     2.22      11.93       0.00    2940   0 svchost
     11     2.52      12.04       0.00    2952   0 svchost
     14    16.33      22.34       0.00    3192   0 svchost
      9     1.77       9.21       0.00    3228   0 svchost
     14     3.36      19.20       0.00    3248   0 svchost
     10     2.11      10.64       0.00    3256   0 svchost
      9     1.54       7.71       0.00    3264   0 svchost
     14     2.12      11.74       0.00    3472   0 svchost
     12     2.55      12.34       0.00    3552   0 svchost
     12     2.05      11.27       0.00    3560   0 svchost
     15     4.27      24.66       0.00    3660   0 svchost
     10     1.98      11.19       0.00    3724   0 svchost
     13     2.76      13.81       0.00    3804   0 svchost
     11    22.25      33.67       0.00    3840   0 svchost
     12     2.53      12.91       0.00    3848   0 svchost
     27     6.95      24.98       0.00    3956   0 svchost
     16     2.59      16.82       0.00    3996   0 svchost
     34    12.96      27.99       0.00    4112   0 svchost
